REGION,PUERTO DESEMBARQUE,ESPECIE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15,ARICA,ALBACORA O PEZ ESPADA, -   , -   , -   , -   , -   , -   , -   ,59,15,1,1,11,25,13, -   
15,ARICA,ALBACORA O PEZ ESPADA / IVI HEHEU, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8
15,ARICA,ALMEJA, -   , -   , -   , -   , -   , -   , -   , -   , -   ,5,2,7,16,32,46
15,ARICA,ANCHOVETA, -   , -   , -   , -   , -   , -   , -   ,75235,97863,88440,61998,98907,120070,94767,110497
15,ARICA,AYANQUE, -   , -   , -   , -   , -   , -   , -   ,5, -   , -   ,1,4,1, -   , -   
15,ARICA,AZULEJO, -   , -   , -   , -   , -   , -   , -   ,9,4,3,24,38,36,40,31
15,ARICA,BACALADILLO O MOTE, -   , -   , -   , -   , -   , -   , -   , -   ,773,325,133,2755,666, -   ,2
15,ARICA,BACALAO DE PROFUNDIDAD, -   , -   , -   , -   , -   , -   , -   ,19,4,13,13,19,25,26,13
15,ARICA,BONITO, -   , -   , -   , -   , -   , -   , -   ,1, -   , -   ,3,1,8,2, -   
15,ARICA,CABALLA, -   , -   , -   , -   , -   , -   , -   ,4,2,1,15,9,9,2,32
15,ARICA,CABINZA, -   , -   , -   , -   , -   , -   , -   , -   ,1,3,11,1,8,6,8
15,ARICA,CABRILLA COMUN, -   , -   , -   , -   , -   , -   , -   ,13,2,5,17,8,12,9,4
15,ARICA,CARACOL LOCATE, -   , -   , -   , -   , -   , -   , -   ,59,132,12,4,8,9,13,27
15,ARICA,CHASCON O HUIRO NEGRO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,67,107
15,ARICA,CHOCHA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
15,ARICA,CHOLGA, -   , -   , -   , -   , -   , -   , -   ,37,20,20,24,34,38,52,49
15,ARICA,CHORITO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   ,9
15,ARICA,CHORO, -   , -   , -   , -   , -   , -   , -   ,8,16,7,1,4,10,11,17
15,ARICA,COJINOBA DEL NORTE, -   , -   , -   , -   , -   , -   , -   ,6,1,5,14,17,30,30, -   
15,ARICA,COJINOBA DEL NORTE / PIAFRI, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4
15,ARICA,CONGRIO NEGRO, -   , -   , -   , -   , -   , -   , -   , -   ,4,5,3,4,3, -   , -   
15,ARICA,CORVINA, -   , -   , -   , -   , -   , -   , -   ,6,2,12,12,21,25,29,15
15,ARICA,CRUSTACEO NO CLASIFICADO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7, -   
15,ARICA,CULENGUE, -   , -   , -   , -   , -   , -   , -   ,3, -   ,2, -   , -   , -   , -   , -   
15,ARICA,DORADO DE ALTURA, -   , -   , -   , -   , -   , -   , -   ,62,56,43,170,97, -   ,175, -   
15,ARICA,ERIZO, -   , -   , -   , -   , -   , -   , -   ,22,15,103,13,23,54,26,34
15,ARICA,HUIRO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,17,19
15,ARICA,JAIBA MARMOLA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
15,ARICA,JAIBA PELUDA O PACHONA, -   , -   , -   , -   , -   , -   , -   ,11,15,12,4,2,8,8,7
15,ARICA,JIBIA O CALAMAR ROJO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,9, -   ,5, -   
15,ARICA,JUREL, -   , -   , -   , -   , -   , -   , -   ,9, -   ,1,3,8,8,7,158
15,ARICA,LANGOSTINO ENANO, -   , -   , -   , -   , -   , -   , -   , -   , -   ,11,28,4,8,13,23
15,ARICA,LAPA, -   , -   , -   , -   , -   , -   , -   ,132,20,15,6,14, -   , -   , -   
15,ARICA,LAPA NEGRA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,11,20,18
15,ARICA,LISA, -   , -   , -   , -   , -   , -   , -   ,1, -   ,2,1,4,4,7,1
15,ARICA,LOCO, -   , -   , -   , -   , -   , -   , -   , -   ,28,6, -   ,2, -   , -   , -   
15,ARICA,MACHUELO O TRITRE, -   , -   , -   , -   , -   , -   , -   ,281,245,294,50,385,431,1099,1273
15,ARICA,MARLIN, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   
15,ARICA,PAMPANITO, -   , -   , -   , -   , -   , -   , -   , -   , -   ,17, -   , -   ,29, -   ,4
15,ARICA,PEJEGALLO, -   , -   , -   , -   , -   , -   , -   ,4, -   , -   , -   , -   , -   , -   , -   
15,ARICA,PEJERREY DE MAR, -   , -   , -   , -   , -   , -   , -   ,7,6,73,14,15,35,32,19
15,ARICA,PESCADO NO CLASIFICADO, -   , -   , -   , -   , -   , -   , -   ,4,3,1, -   ,1,3,1,3
15,ARICA,PIURE, -   , -   , -   , -   , -   , -   , -   ,60,68,79,44,53,36,62,77
15,ARICA,PULPO, -   , -   , -   , -   , -   , -   , -   ,18,10, -   ,12,6,13,23, -   
15,ARICA,PULPO DEL NORTE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12
15,ARICA,ROCOCO, -   , -   , -   , -   , -   , -   , -   ,2, -   ,1, -   ,1,2,3,2
15,ARICA,RONCACHO, -   , -   , -   , -   , -   , -   , -   ,3,4,42,4,8,71,28,110
15,ARICA,SARDINA ESPAÑOLA, -   , -   , -   , -   , -   , -   , -   ,5,4,5,3,6,2,3, -   
15,ARICA,SARGO, -   , -   , -   , -   , -   , -   , -   ,6, -   ,2,1,6,11,13,9
15,ARICA,TIBURON O MARRAJO, -   , -   , -   , -   , -   , -   , -   ,19,8,8,25,35,33,25, -   
15,ARICA,TIBURON O MARRAJO DENTUDO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,17
15,ARICA,TOLLO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
15,ARICA,"VIDRIOLA, PALOMETA, DORADO O TOREMO", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,148, -   ,244
15,ARICA,AGUJILLA, -   , -   , -   , -   ,66, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,ALMEJA,14,4, -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,ANCHOVETA,33934,41307,77170,75054,110591,89977,72082, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,ANGUILA,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,AYANQUE,14,14,30,25,52,53,3, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,AZULEJO,1,2,1,1, -   ,2,2, -   , -   , -   , -   , -   , -   , -   , -   
