"","Apristurus nasutus","Brama australis","Callorhinchus callorynchus","Centroscyllium granulatum","Centroscyllium nigrum","Coelorinchus chilensis","Coelorinchus fasciatus","Deania calcea","Dipturus trachyderma","Epigonus crassicaudus","Etmopterus granulosus","Genypterus blacodes","Genypterus maculatus","Helicolenus lengerichi","Hexanchus griseus","Hippoglossina macrops","Macruronus magellanicus","Merluccius australis","Merluccius gayi gayi","Prolatilus jugularis","Psammobatis scobina","Squalus acanthias","Stromateus stellatus","Thyrsites atun","Torpedo tremens","Trachurus murphyi","Zearaja chilensis"
"1",591.3,7.9,0,0,637.2,1382.1,0,178.9,0,12549.4,0,703.7,881,0,881.5,2610.6,653.4,0,64580.6,64.3,0,11.8,0,0,45.4,11.2,1935.6
"2",0,153.666,640.3676,268.333,0,68.885,0,15.6,0,1228.758,0,740.922,320.97,1940.759,0,669.636,1695.306,61.25,64750,437.012,0,0,160.898,72.6,0,1551.136,1138.973
"3",0,1126.66,544.4,0,0,0,0,0,0,1411.5,0,647,301.5,2346.3,0,88,609,0,81360.5333333333,194.7,0,0,183.5,168.5,0,226,570
"4",3.05,817.065,954.8,77.135,0.14,272.62,0,0,0,1153.7,0,1446.946,223.51,1718.72,9.7,231.825,4481.263,89.64,84765.713378076,158.415,0.315,8.45,611.76,530.416,4.5,341.125,657.771
"5",18.33,34.75,657.606474337471,138.404734316687,2.3,1925.85169544908,0,2.45,0,752.3427062067,9.48617764737263,2006.5514524857,723.16,2014.65030478575,11.1,917.434684898511,3110.87234833433,212.365283587258,77482.7230769231,258.714291547827,76.6875925925926,156.11392513101,15.61,275.45,0,473.85699694116,1283.88711965175
"6",4.38666666666667,791.213333333333,2064.05,0,0,1409.40666666667,0,56.6666666666667,0,1169.145,0,1162.14833333333,344.825,1522.44333333333,28.9633333333333,480.718333333333,1410.46111111111,852.931666666666,120617.225454545,369.548333333333,78.7583333333333,370.896666666667,604.036666666667,1069.83,14.46,615.921666666667,1243.31833333333
"7",36.5,1.65,2781.9,0,0,2665.59,0,0,0,530.66,12.25,259.775,246.02,1818.1,15,979.045,10328.01,193.6,129670.589,2248.845,112.885,231.25,88.23,1264,5.5,61.09,2802.559
"8",0,365.9,459.9,26.9,0,1059.3,189,633.1,0,995.9,0,53.9,431.2,1217.87,256.5,742.75,562.95,6.6,29548.038,213.3,56.8,91.9,497.2,416.77,102.3,175.8,1478.9
"9",1.022,667.997,28.51,0,3.75,1505.64566666667,14.564,66,1.304,255.745,0,301.167,96.273,1432.50616666667,67.75,1051.4505,350.643,75.428,36301.0863166667,47.64,72.627,1.17,1.088,133.21,65.46,58.008,1097.443
"10",3.836,915.22,456.27,0,58.013,2697.219,24.477,10.18,12.164,1674.729,163.235,21.842,58.643,4133.362,20.4,2083.832,898.503,0,90274.296,310.751,11.84,98.15,179.809,146.172,17.4,72.343,1161.446
"11",0,37.662,205.326,11.76,240.477,3238.6675,517.318,228.78,2.178,951.5755,27,89.1795,15.559,1432.783,0,798.493,2424.54,33.5,56683.9495,123.587,1.32,17.877,463.17,35.768,6.5,372.829,876.615
"12",0,0,74.619,0.2895,0,0,31.792,0,1.497,260.3835,0,21.8515,8.4435,2164.4105,0,443.5835,244.508,0,43693.3,79.767,0,9.666,39.605,944.2785,0,27,216.875
"13",0,261.279562468138,283.390232520931,2.63,45.8881091347763,372.733687200282,1255.16878207317,26.374,21.5296441515759,943.311096728332,0,46.9375592633658,101.543411955206,9538.17708265074,0,660.066951181874,847.650251210081,51.9721309925027,61492.5289166667,69.9275649247468,43.0910397552858,23.554284930373,132.824383101307,350.017,38.8017041327369,36.941,698.029
"14",0,259.673798068912,48,29.1177611533668,4.77,502.239819017626,0,152.117285705918,0,119.939416337599,0,114.201158813054,83.15625,1431.3038208197,35,203.664505673123,2757.38111570674,13.81,23458.8144666667,35.871299044407,6.628,38.7173189758776,297.748202480402,75.6815677099492,0,2.504,268.277
"15",0,115.222,362.40569242026,0.895746658361671,0,320.665746747571,0,40.7357415743578,0,471.555086734852,0,0,36.168,1572.35095408896,0,173.721156837818,1820.49822077836,1.744,28911.924,60.1533199773241,4.9,6.45,106.13123258482,234.712708875881,3.30953545232274,5.77,173.043
"16",0,6.35,76.873,370.911832772995,0,258.388132384652,0,7.75,0,74.3797955513181,1.184,43.05,6.205,2090.00993861014,0,104.149046101283,184.273066819293,0,25983.065,27.3726457139999,6.13,0,415.715994746944,3367.2748217636,0,24.542,102.251
"17",0,0,143.839938182296,34.7564485108734,0,555.809222826862,1406.97673283652,64.3,19.235,72.5573223701519,176.15,130.4,19,3529.68978027965,0,134.101209048275,2008.60214715587,29.365,22823.686,78.7717334330414,15.859,0,248.907635805257,48.612981442589,0,0.605,336.644
