"","TL","DemersPelag","DepthRangeShallow","DepthRangeDeep","Length","BodyShapeI"
"Brama australis",4,"pelagic-neritic",15,120,47,"short and / or deep"
"Callorhinchus callorynchus",3.35,"demersal",10,116,89.2,"elongated"
"Epigonus crassicaudus",3.6,"bathydemersal",180,400,43,"fusiform / normal"
"Genypterus blacodes",4.2,"bathydemersal",22,1000,200,"elongated"
"Genypterus maculatus",4,"demersal",40,150,100,"elongated"
"Helicolenus lengerichi",3.9,"bathydemersal",50,250,30.7,"fusiform / normal"
"Hippoglossina macrops",3.73,"demersal",100,500,40,"short and / or deep"
"Macruronus magellanicus",3.9,"benthopelagic",30,500,115,"elongated"
"Merluccius gayi gayi",4.26,"bathydemersal",50,500,87,"fusiform / normal"
"Prolatilus jugularis",3.7,"demersal",12,50,40,"fusiform / normal"
"Squalus acanthias",4.37,"benthopelagic",0,1460,160,"elongated"
"Stromateus stellatus",3.6,"benthopelagic",0,100,25.14,"short and / or deep"
"Thyrsites atun",3.63,"benthopelagic",0,550,200,"elongated"
"Trachurus murphyi",3.33,"pelagic-oceanic",10,306,70,"fusiform / normal"
"Zearaja chilensis",4.46,"demersal",40,500,42,"flat"
