,TL,DemersPelag,DepthRangeShallow,DepthRangeDeep,Length,BodyShapeI,,,,,TL,DemersPelag,DepthRangeShallow,DepthRangeDeep,Length,BodyShapeI,,
Apristurus nasutus,3.1,bathydemersal,400,925,70,elongated,,,,,Nivel trófico (Ref. 69278):  3.1   ±0.30 se; Based on food items.,,,,,,,
Brama australis,4,pelagic-neritic,15,120,47,short and / or deep,,,,,,,,,,,,
Callorhinchus callorynchus,3.35,demersal,10,116,89.2,elongated,,,,,Nivel trófico (Ref. 69278):  4.0   ±0.63 se; Based on food items,,,,,,,
Centroscyllium granulatum,3.6,bathypelagic,150,1100,28,elongated,,,,,Nivel trófico (Ref. 69278):  3.6   ±0.3 se; Based on size and trophs of closest relatives ,,"150 https://www.sharkwater.com/shark-database/sharks/whitefin-dogfish/ based on Cortes (1999) Centroscyllium Ritteri feeds on zoo, which is similar to Centroscyllium granulatum which feeds mainly on Euphasia sp.","1100 m https://www.sharkwater.com/shark-database/sharks/whitefin-dogfish/ based on Cortes (1999) Centroscyllium Ritteri feeds on zoo, which is similar to Centroscyllium granulatum which feeds mainly on Euphasia sp.",,,Squaliformes,Etmopteridae
Centroscyllium nigrum,3.9,benthopelagic,269,1170,51,elongated,,,,,Nivel trófico (Ref. 69278):  3.9   ±0.56 se; Based on food items.,,,,,,,
Coelorinchus chilensis,3.6,bathydemersal,260,1480,48,elongated,,,,,Nivel trófico fishbase (Ref. 69278):  3.6   ±0.5 se; Based on size and trophs of closest relatives,,,,,,,
Coelorinchus fasciatus,3.86,bathydemersal,73,1086,50,elongated,,,,,,,,,,,,
Deania calcea,4.33,bathydemersal,60,1490,122,elongated,,,,,,,,,,,,
Dipturus trachyderma,4.1,bathydemersal,93,450,264,flat,,,,,Nivel trófico (Ref. 69278):  4.1   ±0.6 se; Based on size and trophs of closest relatives,,,,,,,
Epigonus crassicaudus,3.6,bathydemersal,180,400,43,fusiform / normal,,,,,Nivel trófico (Ref. 69278):  3.6   ±0.5 se; Based on size and trophs of closest relatives,,,,Max length : 264 cm TL macho / no sexado; (Ref. 114953),,,
Etmopterus granulosus,4.2,bathydemersal,220,1620,60,elongated,,,,,,,,,,,,
Genypterus blacodes,4.2,bathydemersal,22,1000,200,elongated,,,,,Nivel trófico (Ref. 69278):  4.2   ±0.76 se; Based on food items.,,,,,,,
Genypterus maculatus,4,demersal,40,150,100,elongated,,,,,Nivel trófico (Ref. 69278):  4.0   ±0.7 se; Based on size and trophs of closest relatives,,,,,,,
Helicolenus lengerichi,3.9,bathydemersal,50,250,30.7,fusiform / normal,,,,,Nivel trófico (Ref. 69278):  3.9   ±0.7 se; Based on size and trophs of closest relatives,,http://www2.udec.cl/~coyarzun/catalogo/Helicolenus.htm,http://www2.udec.cl/~coyarzun/catalogo/Helicolenus.htm,,,,
Hexanchus griseus,4.48,bathydemersal,1,2500,482,elongated,,,,,,,,,,,,
Hippoglossina macrops,3.73,demersal,100,500,40,short and / or deep,,,,,,,http://www2.udec.cl/~coyarzun/catalogo/HippoglossinaMacrops.htm,http://www2.udec.cl/~coyarzun/catalogo/HippoglossinaMacrops.htm,http://www2.udec.cl/~coyarzun/catalogo/HippoglossinaMacrops.htm,,,
Macruronus magellanicus,3.9,benthopelagic,30,500,115,elongated,,,,,Nivel trófico (Ref. 69278):  3.9   ±0.60 se; Based on food items.,,,,,,,
Merluccius australis,4.5,benthopelagic,28,1000,155,elongated,,,,,Nivel trófico (Ref. 69278):  4.5   ±0.79 se; Based on food items.,,,,,,,
Merluccius gayi gayi,4.26,bathydemersal,50,500,87,fusiform / normal,,,,,,,,,,,,
Prolatilus jugularis,3.7,demersal,12,50,40,fusiform / normal,,,,,Nivel trófico (Ref. 69278):  3.7   ±0.56 se; Based on food items.,,"Yáñez , 1974; Yáñez & Barbieri, 1974; http://www2.udec.cl/~coyarzun/catalogo/Prolatilus.htm","Yáñez , 1974; Yáñez & Barbieri, 1974",,http://www2.udec.cl/~coyarzun/catalogo/Prolatilus.htm,,
Psammobatis scobina,3.7,demersal,40,450,49,flat,,,,,Nivel trófico (Ref. 69278):  3.7   ±0.7 se; Based on size and trophs of closest relatives,,,,https://www.iucnredlist.org/species/63140/12622192,Need citation,,
Squalus acanthias,4.37,benthopelagic,0,1460,160,elongated,,,,,,,,,,,,
Stromateus stellatus,3.6,benthopelagic,0,100,25.14,short and / or deep,,,,,Nivel trófico (Ref. 69278):  3.6   ±0.5 se; Based on size and trophs of closest relatives,,https://www.iucnredlist.org/species/183520/8127584,https://www.iucnredlist.org/species/183520/8127584,,,,
Thyrsites atun,3.63,benthopelagic,0,550,200,elongated,,,,,,,rango de profundidad 0 - 700 m (Ref. 106604). ,rango de profundidad 0 - 700 m (Ref. 106604). ,,,,
Torpedo tremens,4,demersal,0,700,90,flat,,,,,Nivel trófico (Ref. 69278):  4.0   ±0.61 se; Based on food items.,,https://www.fishbase.in/summary/Tetronarce-tremens.html,https://www.fishbase.in/summary/Tetronarce-tremens.html,https://www.fishbase.in/summary/Tetronarce-tremens.html,,,
Trachurus murphyi,3.33,pelagic-oceanic,10,306,70,fusiform / normal,,,,,,,,,,,,
Zearaja chilensis,4.46,demersal,40,500,42,flat,,,,,,,Quiroz 2005,Quiroz 2005,,,,
