"","COD_ESP","nombre_comun","simbolo","cientifico","SpecCode","Genus","Author","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","DemersPelag","Amphibious","AmphibiousRef","AnaCat","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","ImportanceRef","Importance","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","Comments","Profile","PD50","TL"
"1",54,"Besugo","ec","Epigonus crassicaudus","54788","Epigonus","de Buen, 1959","507",NA,"3783",NA,"fusiform / normal","bathydemersal",NA,NA,NA,"180","400","31632",NA,NA,NA,NA,NA,NA,NA,"60.94","43","TL","46","SL","43868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","-1","0","0","0","0","never/rarely",NA,NA,"A mesobenthic-pelagic species living mainly above the bottom (Ref. 31632).  Juveniles have been captured from midwater (Ref. 27363).",NA,"0.5",NA
"2",47,"Blanquillo","pj","Prolatilus jugularis","12917","Prolatilus","(Valenciennes, 1833)","371",NA,"7923",NA,"elongated","demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.18","40","TL",NA,NA,"27569",NA,NA,NA,NA,NA,"199",NA,"53696","27569","commercial",NA,NA,"trawls",NA,"0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"Inhabits rocky and sandy bottoms and feeds on crustaceans, polychaetes and small fish.",NA,"1",NA
"3",7,"Chancharro","hl","Helicolenus lengerichi","51205","Helicolenus","Norman, 1937","573","Sebastinae","7741",NA,"fusiform / normal","bathydemersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","39918",NA,NA,"30.18","30.7","SL",NA,NA,"26373",NA,NA,NA,NA,NA,NA,NA,NA,NA,"minor commercial",NA,NA,NA,NA,"0","0","0","0","0","-1","0","0","0","0","never/rarely",NA,NA,"Viviparous (Ref. 34817).",NA,"0.502",NA
"4",6,"Congrio dorado","gb","Genypterus blacodes","482","Genypterus","(Forster, 1801)","186","Ophidiinae","3282",NA,"elongated","bathydemersal",NA,NA,"oceanodromous","22","1000","58489","300","550","6390","30","9072",NA,NA,"79.46","200","SL",NA,NA,"34024","100","TL",NA,NA,"9258","25000",NA,"34024","34024","highly commercial","from 10,000 to 50,000",NA,"various gears",NA,"0","0","0","0","0","-1","0","0","-1","0","never/rarely",NA,NA,"Common species (Ref. 34024).  Found between depths of 22 m (Ref. 58489) and 1000 m (Ref. 33848).  Feed mainly on crustaceans such as <i>Munida</i> and scampi and also on fish.  Also caught above the bottom  when feeding on hoki (<i>Macruronus novaezelandiae</i>) during the hoki spawning season.  Available all year round.  Juveniles are found in shallower shelf waters (Ref. 6390).  Oviparous, with oval pelagic eggs floating in a gelatinous mass (Ref. 205).  Utilized fresh, frozen or smoked; can be fried and baked (Ref. 9988, 34024).",NA,"0.5156",NA
"5",111,"Congrio negro","gm","Genypterus maculatus","484","Genypterus","(Tschudi, 1846)","186","Ophidiinae","3282",NA,"elongated","demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.98","100","TL",NA,NA,"55763","50","TL",NA,NA,"55763",NA,NA,NA,"4931","commercial","from 1,000 to 10,000",NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"Common species found in rocky shelf and upper slope waters (Ref. 34024).  Oviparous, with oval pelagic eggs floating in a gelatinous mass (Ref. 205).",NA,"0.5156",NA
"6",244,"Granadero aconcagua","cac","Coelorhynchus aconcagua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",244,"Granadero aconcagua","cac","Coelorhynchus aconcagua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",17,"Granadero chileno","cch","Coelorinchus chilensis","8445","Coelorinchus","Gilbert & Thompson, 1916","185","Macrourinae","2217",NA,"elongated","bathydemersal",NA,NA,"non-migratory","260","1480","1371",NA,NA,NA,NA,NA,NA,NA,"52.66","48","TL",NA,NA,"1371",NA,NA,NA,NA,NA,NA,NA,NA,"1371","minor commercial",NA,"off San Antonio Chile","trawls","unspecified trawls (TX)","0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"This species is nowhere found in great abundance.",NA,"0.5",NA
"9",984,"Granadero cola de látigo","cf","Coelorinchus fasciatus","7131","Coelorinchus","(G<fc>nther, 1878)","185","Macrourinae","2217",NA,"elongated","bathydemersal",NA,NA,"non-migratory","73","1086","1371","400","800","1371",NA,NA,NA,NA,"54.74","50","TL",NA,NA,"27121",NA,NA,NA,NA,NA,NA,NA,NA,"1371","minor commercial",NA,NA,"trawls","unspecified trawls (TX)","0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"Feeds mainly on copepods, polychaetes, benthic mollusks, arthropods, decapods and amphipods, echinoderms and fishes (myctophids and <i>Maurolicus</i>).",NA,"0.5","3.86"
"10",26,"Jurel","tm","Trachurus murphyi","367","Trachurus","Nichols, 1920","314","Caranginae","3831",NA,"fusiform / normal","pelagic-oceanic",NA,NA,"oceanodromous","10","306","58489","10","70",NA,"16","26956",NA,NA,"66.57","70","TL",NA,NA,"9283","45","FL",NA,NA,"9283",NA,NA,NA,"4931","highly commercial","more than 500,000","3852928 t in 1990; mainly from Chile and USSR","seines",NA,"-1","-1","0","0","0","-1","0","0","-1","0","never/rarely",NA,NA,"Adults are found in the shore and open oceanic waters, in schools.  They feed mainly on fish larvae and small crustaceans.  Marketed fresh (Ref. 9283).  Utilized canned for human consumption and also made into fishmeal (Ref. 9988).  The species is often found in Juan Fern<e1>ndez Is. as an incidental catch of <i>Pseudocaranx chilensis</i> (Guichenot, 1848) fisheries (Ref. 89357).",NA,"0.5001","3.33"
