,TL,DemersPelag,DepthRangeShallow,DepthRangeDeep,Length,BodyShapeI
Beryx splendens,4.27,benthopelagic,25,1300,70,fusiform / normal
Brama australis,2,pelagic-neritic,15,120,47,short and / or deep
Callorhinchus callorynchus,3.35,demersal,10,116,89.2,elongated
Cilus gilberti,2,demersal,10,116,60,fusiform / normal
Dissostichus eleginoides,2,pelagic-oceanic,50,3850,215,fusiform / normal
Engraulis ringens,2,pelagic-neritic,3,80,20,elongated
Epigonus crassicaudus,2,bathydemersal,180,400,43,fusiform / normal
Genypterus blacodes,2,bathydemersal,22,1000,200,elongated
Genypterus chilensis,2,bathydemersal,22,1000,150,elongated
Genypterus maculatus,2,demersal,22,1000,100,elongated
Helicolenus lengerichi,2,bathydemersal,22,1000,30.7,fusiform / normal
Isacia conceptionis,2,benthopelagic,0,50,60,fusiform / normal
Macruronus magellanicus,2,benthopelagic,30,500,115,elongated
Merluccius gayi gayi,4.26,bathydemersal,50,500,87,fusiform / normal
Micromesistius australis,2,benthopelagic,50,900,90,elongated
Mustelus mento,2,demersal,16,50,130,elongated
Myliobatis chilensis,2,benthopelagic,16,50,130,other
Prolatilus jugularis,2,demersal,16,50,40,elongated
Sardinops sagax,2.84,pelagic-neritic,0,200,39.5,fusiform / normal
Scomber japonicus,3.38,pelagic-neritic,0,300,64,fusiform / normal
Seriolella punctata,2,benthopelagic,27,650,66,fusiform / normal
Squalus acanthias,4.37,benthopelagic,0,1460,95,elongated
Stromateus stellatus,2,benthopelagic,0,1460,25.14,short and / or deep
Thyrsites atun,3.63,benthopelagic,0,550,200,elongated
Trachurus murphyi,3.33,pelagic-oceanic,10,306,70,fusiform / normal
