,TL,DemersPelag,DepthRangeShallow,DepthRangeDeep,Length,BodyShapeI
Brama australis,2,pelagic-neritic,15,120,47,short and / or deep
Callorhinchus callorynchus,3.35,demersal,10,116,89.2,elongated
Epigonus crassicaudus,2,bathydemersal,180,400,43,fusiform / normal
Genypterus blacodes,2,bathydemersal,22,1000,200,Elongated
Genypterus maculatus,2,demersal,22,1000,100,elongated
Helicolenus lengerichi,2,bathydemersal,22,1000,30.7,fusiform / normal
Hippoglossina macrops,3.73,demersal,22,500,25,short and / or deep
Macruronus magellanicus,2,benthopelagic,30,500,115,elongated
Merluccius gayi gayi,4.26,bathydemersal,50,500,87,fusiform / normal
Prolatilus jugularis,2,demersal,50,500,40,NA
Squalus acanthias,4.37,benthopelagic,0,1460,160,elongated
Stromateus stellatus,2,benthopelagic,0,1460,25.14,short and / or deep
Thyrsites atun,3.63,benthopelagic,0,550,200,elongated
Trachurus murphyi,3.33,pelagic-oceanic,10,306,70,fusiform / normal
Zearaja chilensis,4.46,demersal,10,306,42,other
