"","TL","DemersPelag","DepthRangeShallow","DepthRangeDeep","Length","BodyShapeI"
"1",NA,"bathydemersal",400,925,70,"elongated"
"2",NA,"pelagic-neritic",15,120,47,"short and / or deep"
"3",3.35,"demersal",10,116,89.2,"elongated"
"4",NA,"bathypelagic",NA,NA,28,"elongated"
"5",NA,"benthopelagic",269,1170,51,"elongated"
"6",NA,"bathydemersal",260,1480,48,"elongated"
"7",3.86,"bathydemersal",73,1086,50,"elongated"
"8",4.33,"bathydemersal",60,1490,122,"elongated"
"9",NA,"bathydemersal",93,450,264,"other"
"10",NA,"bathydemersal",180,400,43,"fusiform / normal"
"11",4.2,"pelagic-oceanic",220,1620,74.9,"elongated"
"12",NA,"bathydemersal",22,1000,200,"elongated"
"13",NA,"demersal",NA,NA,100,"elongated"
"14",NA,"bathydemersal",NA,NA,30.7,"fusiform / normal"
"15",4.48,"bathydemersal",1,2500,482,"elongated"
"16",3.73,"demersal",35,600,NA,"short and / or deep"
"17",NA,"benthopelagic",30,500,115,"elongated"
"18",NA,"benthopelagic",28,1000,155,"elongated"
"19",4.26,"bathydemersal",50,500,87,"fusiform / normal"
"20",NA,"demersal",NA,NA,40,"elongated"
"21",NA,"demersal",40,450,NA,"other"
"22",4.37,"benthopelagic",0,1460,95,"elongated"
"23",NA,"benthopelagic",NA,NA,25.14,"short and / or deep"
"24",3.63,"benthopelagic",0,550,200,"elongated"
"25",NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA
"27",3.33,"pelagic-oceanic",10,306,70,"fusiform / normal"
"28",4.46,"demersal",28,500,210,"other"
