"","cientifico","TL","DemersPelag","DepthRangeShallow","DepthRangeDeep","Length","BodyShapeI"
"1","Agonopsis vulsa","3.3","demersal","0","163","20","elongated"
"2","Albatrossia pectoralis","4.3","bathydemersal","140","3500","210","elongated"
"3","Alepocephalus tenebrosus","3.5","bathydemersal","46","5500","61","elongated"
"4","Allosmerus elongatus","3.3","demersal","1","103","22.9","elongated"
"5","Alosa sapidissima","3.48","pelagic-neritic","0","250","76","fusiform / normal"
"6","Anarrhichthys ocellatus","3.5","demersal","1","226","240","elongated"
"7","Anoplogaster cornuta",NA,NA,NA,NA,NA,NA
"8","Anoplopoma fimbria","3.84","bathydemersal","175","2740","120","fusiform / normal"
"9","Antimora microlepis","3.5","bathypelagic","175","3048","75","fusiform / normal"
"10","Apristurus brunneus","3.58","demersal","33","1306","69","elongated"
"11","Apristurus kampae","3.9","bathydemersal","180","1888","58.4","elongated"
"12","Argentina sialis","3.1","demersal","11","325","22","elongated"
"13","Argyropelecus affinis","3.1","bathypelagic","1","3872","8.4","short and / or deep"
"14","Aristostomias scintillans","3.5","bathypelagic","0","1219","23","elongated"
"15","Atheresthes stomias","4.17","demersal","18","950","84","short and / or deep"
"16","Avocettina infans",NA,NA,NA,NA,NA,NA
"17","Bathyagonus nigripinnis","3.3","demersal","18","1290","24.2","elongated"
"18","Bathyagonus pentacanthus","3.2","demersal","110","910","23","elongated"
"19","Bathylagus pacificus","3.3","bathypelagic","600","7700","25","fusiform / normal"
"20","Bathyraja abyssicola",NA,NA,NA,NA,NA,NA
"21","Bathyraja trachura","4","bathydemersal","213","2550","91","other"
"22","Benthalbella dentata",NA,NA,NA,NA,NA,NA
"23","Bothrocara brunneum","3.61","bathydemersal","129","2570","74","eel-like"
"24","Bothrocara molle",NA,NA,NA,NA,NA,NA
"25","Careproctus cypselurus","3.3","bathydemersal","35","1775","32.3","elongated"
"26","Careproctus gilberti","3.2","bathydemersal","73","886","8.9","other"
"27","Careproctus melanurus","3.4","bathydemersal","89","2286","54","fusiform / normal"
"28","Caristius macropus",NA,NA,NA,NA,NA,NA
"29","Cataetyx rubrirostris","3.5","bathydemersal","300","1000","15.7","elongated"
"30","Caulophryne jordani",NA,NA,NA,NA,NA,NA
"31","Cephaloscyllium ventriosum",NA,NA,NA,NA,NA,NA
