"","year","common","totalCatch"
"1",2003,"Anchovy, northern",0
"2",2003,"Barracuda, California",0
"3",2003,"Bass, giant sea",0
"4",2003,"Blacksmith",1
"5",2003,"Bonito, Pacific",0
"6",2003,"Bullhead, brown",328
"7",2003,"Butterfish (Pacific pompano)",0
"8",2003,"Cabezon",0
"9",2003,"Carp",0
"10",2003,"Cod, Pacific",42
"11",2003,"Croaker, unspecifed",0
"12",2003,"Croaker, white",0
"13",2003,"Dolphin (fish)",0
"14",2003,"Eel, California moray",93
"15",2003,"Eel, monkeyface (prickleback)..",97
"16",2003,"Escolar",0
"17",2003,"Fish, unspecified",254
"18",2003,"Flounder, arrowtooth",0
"19",2003,"Flounder, starry",0
"20",2003,"Flounder, unspecified",0
"21",2003,"Flyingfish",11
"22",2003,"Goby, yellowfin",493
"23",2003,"Greenling, kelp",0
"24",2003,"Grenadier",0
"25",2003,"Guitarfish, shovelnose",0
"26",2003,"Halfmoon",8
"27",2003,"Halibut, California",0
"28",2003,"Herring, Pacific",0
"29",2003,"Herring, Pacific - roe",0
"30",2003,"Herring, Pacific - roe on kelp",0
"31",2003,"Jacksmelt",0
"32",2003,"Kelpfish, giant",0
"33",2003,"Lingcod",0
"34",2003,"Lizardfish, California",427
"35",2003,"Louvar",976
"36",2003,"Mackerel, jack",0
"37",2003,"Mackerel, Pacific",0
"38",2003,"Midshipman, plainfin",18
"39",2003,"Mudsucker, longjaw",12
"40",2003,"Mullet, striped",0
"41",2003,"Opah",0
"42",2003,"Opaleye",869
"43",2003,"Pomfret, Pacific",196
"44",2003,"Queenfish",0
"45",2003,"Ray, bat",16
"46",2003,"Ray, Pacific electric",400
"47",2003,"Ray, unspecified",0
"48",2003,"Rockfish, aurora",0
"49",2003,"Rockfish, bank",0
"50",2003,"Rockfish, black",0
"51",2003,"Rockfish, black-and-yellow",0
"52",2003,"Rockfish, blackgill",0
"53",2003,"Rockfish, blue",0
"54",2003,"Rockfish, bocaccio",1173
"55",2003,"Rockfish, brown",0
"56",2003,"Rockfish, canary",436
"57",2003,"Rockfish, chilipepper",0
"58",2003,"Rockfish, China",0
"59",2003,"Rockfish, copper",0
"60",2003,"Rockfish, cowcod",8
"61",2003,"Rockfish, darkblotched",0
"62",2003,"Rockfish, flag",54
"63",2003,"Rockfish, gopher",0
"64",2003,"Rockfish, grass",0
"65",2003,"Rockfish, greenblotched",24
"66",2003,"Rockfish, greenspotted",670
"67",2003,"Rockfish, greenstriped",691
"68",2003,"Rockfish, group black/blue",93
"69",2003,"Rockfish, group bolina",0
"70",2003,"Rockfish, group deepwater reds",0
"71",2003,"Rockfish, group gopher",0
