,comun,cientifico,n
1,Anchovy deepbody,Anchoa compressa,1
2,Anchovy northern,Engraulis mordax,12
3,Barracuda California,Sphyraena argentea,12
4,Bass barred sand,Stereolepis gigas,3
5,Bass giant sea,Stereolepis gigas,12
6,Bass kelp,Paralabrax clathratus,5
7,Bass spotted sand,Paralabrax maculatofasciatus,1
8,Blackfish Sacramento,Orthodon microlepidotus,1
9,Blacksmith,Chromis punctipinnis,9
10,Bonito Pacific,Sarda chiliensis,12
11,Bullhead brown,Ameiurus nebulosus,3
12,Butterfish Pacific pompano,Peprilus simillimus,4
13,Butterfish Pacific pompano,Peprilus simillimus,1
14,Butterfish Pacific pompano,Peprilus simillimus,4
15,Butterfish Pacific pompano,Peprilus simillimus,3
16,Cabezon,Scorpaenichthys marmoratus,12
17,Carp,Cyprinus carpio,7
18,Cod Pacific,Gadus macrocephalus,5
19,Corbina California,Menticirrhus undulatus,2
20,Corvina shortfin,Cynoscion parvipinnis,4
21,Croaker black,Cheilotrema saturnum,1
22,Croaker unspecifed,Sciaenidae,8
23,Croaker white,Genyonemus lineatus,12
24,Croaker yellowfin,Genyonemus lineatus,3
25,Dolphin fish,Coryphaena hippurus,12
26,Eel,Osteichthyes,7
27,Eel California moray,Gymnothorax mordax,12
28,Eel monkeyface pricklebac,Cebidichthys violaceus,4
29,Eel monkeyface prickleback,Cebidichthys violaceus,7
30,Eel monkeyface prickleback,Cebidichthys violaceus,1
31,Eel spotted cusk,Chilara taylori,1
32,Eel wolf wolfeel,Anarrhichthys ocellatus,3
33,Escolar,Lepidocybium flavobrunneum,12
34,Fish unspecified,Osteichthyes,12
35,Flounder arrowtooth,Atheresthes stomias,12
36,Flounder starry,Platichthys stellatus,12
37,Flounder unspecified,Pleuronectidae,12
38,Flyingfish,Exocoetidae spp,7
39,Goby bluebanded,Lythrypnus dalli,1
40,Goby yellowfin,Acanthogobius flavimanus,11
41,Greenling kelp,Hexagrammos decagrammus,12
42,Greenling rock,Hexagrammos lagocephalus,5
43,Grenadier,Macrouridae,12
44,Grouper,Mycteroperca  Epinephelus,2
45,Grouper broomtail,Mycteroperca xenarcha,1
46,Grunion California,Leuresthes tenuis,1
47,Guitarfish shovelnose,Rhinobatos productus,12
48,Hagfishes,Eptatretus spp,11
49,Halfmoon,Medialuna californiensis,12
50,Halibut California,Paralichthys californicus,12
51,Halibut Pacific,Hippoglossus stenolepis,7
52,Halibut unspecified,Pleuronectiformes,3
53,Herring Pacific,Clupea pallasi,8
54,Herring Pacific  roe,Clupea pallasi,12
55,Herring Pacific  roe on kel,Clupeaalgae,2
56,Herring Pacific  roe on kelp,Clupeaalgae,4
57,Herring Pacific  roe on kelp,Clupeaalgae,2
58,Jacks unspecified,Carangidae,3
59,Jacksmelt,Atherinopsis californiensis,12
60,Kelpfish giant,Heterostichus rostratus,4
61,Kelpfishes,Gibbonsia spp,6
62,Lamprey Pacific,Entosphenus tridentatus ,1
63,Lingcod,Ophiodon elongatus,12
64,Lizardfish California,Synodus lucioceps,12
65,Louvar,Luvarus imperialis,12
66,Mackerel bullet,Auxis rochei,1
67,Mackerel jack,Trachurus symmetricus,12
68,Mackerel Pacific,Scomber japonicus,12
69,Mackerel unspecified,Scomber  Trachurus,9
70,Midshipman plainfin,Porichthys notatus,10
71,Mudsucker longjaw,Gillichthys mirabilis,6
