"","cientifico","TL","DemersPelag","DepthRangeShallow","DepthRangeDeep","Length","BodyShapeI"
"1","Acanthogobius flavimanus","3.39","demersal","1","6","30","fusiform / normal"
"2","Amphistichus argenteus","3.53","demersal",NA,"73","43","fusiform / normal"
"3","Amphistichus koelzi",NA,"demersal","0","9","31","short and / or deep"
"4","Amphistichus rhodoterus","3.37","demersal","0","7","41","short and / or deep"
"5","Anarrhichthys ocellatus",NA,"demersal","1","226","240","elongated"
"6","Anisotremus davidsonii",NA,"demersal","0","40","58","short and / or deep"
"7","Anoplopoma fimbria","3.84","bathydemersal","175","2740","120","fusiform / normal"
"8","Atheresthes stomias","4.17","demersal","18","950","84","short and / or deep"
"9","Atractoscion nobilis",NA,"demersal","0","122","166","fusiform / normal"
"10","Beringraja rhina",NA,"bathydemersal","9","1069","180","other"
"11","Carcharhinus limbatus","4.37","reef-associated","0","100","275","fusiform / normal"
"12","Caulolatilus princeps",NA,"reef-associated","10","91","102","elongated"
"13","Cephaloscyllium ventriosum",NA,"demersal","5","457","110","elongated"
"14","Cheilotrema saturnum",NA,"demersal",NA,"46","45","fusiform / normal"
"15","Chilara taylori",NA,"demersal","0","280","40.4","eel-like"
"16","Chromis punctipinnis",NA,"reef-associated","2","46","25","fusiform / normal"
"17","Citharichthys sordidus","3.46","demersal","0","549","41","fusiform / normal"
"18","Citharichthys stigmaeus",NA,"demersal",NA,"549","17","short and / or deep"
"19","Citharichthys xanthostigma",NA,"demersal","2","201","25","short and / or deep"
"20","Cymatogaster aggregata",NA,"demersal","1","146","20.3","short and / or deep"
"21","Cynoscion parvipinnis",NA,"demersal",NA,NA,"69","fusiform / normal"
"22","Embiotoca jacksoni",NA,"demersal","0","46","39","short and / or deep"
"23","Embiotoca lateralis",NA,"demersal",NA,"21","38","short and / or deep"
"24","Eopsetta jordani",NA,"demersal","0","550","53","short and / or deep"
"25","Gadus macrocephalus","4.16","demersal","10","1280","119","fusiform / normal"
"26","Gillichthys mirabilis",NA,"demersal","4",NA,"21","fusiform / normal"
"27","Gymnothorax mordax","4.5","demersal","1","40","152","eel-like"
"28","Halichoeres semicinctus",NA,"reef-associated","0","24","38","fusiform / normal"
"29","Heterodontus francisci","3.2","demersal","0","152","122","elongated"
"30","Heterostichus rostratus",NA,"demersal","0","40","61","elongated"
"31","Hexagrammos decagrammus",NA,"demersal",NA,"46","61","fusiform / normal"
"32","Hexagrammos lagocephalus","3.67","demersal","0","596","61","fusiform / normal"
"33","Hexanchus griseus","4.48","bathydemersal","1","2500","482","elongated"
"34","Hippoglossina stomata",NA,"demersal","30","137","40","fusiform / normal"
"35","Hippoglossus stenolepis","4.14","demersal","0","1200","258","fusiform / normal"
"36","Hydrolagus colliei",NA,"demersal","0","913","100","elongated"
"37","Hyperprosopon argenteum",NA,"demersal",NA,"18","30","short and / or deep"
"38","Hypsopsetta guttulata","3.3","demersal","1","50","46","short and / or deep"
