"","Agonopsis vulsa","Albatrossia pectoralis","Alepocephalus tenebrosus","Allosmerus elongatus","Alosa sapidissima","Anarrhichthys ocellatus","Anoplogaster cornuta","Anoplopoma fimbria","Antimora microlepis","Apristurus brunneus","Apristurus kampae","Argentina sialis","Argyropelecus affinis","Aristostomias scintillans","Atheresthes stomias","Avocettina infans","Bathyagonus nigripinnis","Bathyagonus pentacanthus","Bathylagus pacificus","Bathyraja abyssicola","Bathyraja trachura","Benthalbella dentata","Bothrocara brunneum","Bothrocara molle","Careproctus cypselurus","Careproctus gilberti","Careproctus melanurus","Cataetyx rubrirostris","Caulophryne jordani","Cephaloscyllium ventriosum","Chauliodus macouni","Chesnonia verrucosa","Chiasmodon niger","Chilara taylori","Chitonotus pugetensis","Citharichthys sordidus","Citharichthys xanthostigma","Coryphaenoides acrolepis","Cymatogaster aggregata","Elassodiscus caudatus","Embassichthys bathybius","Engraulis mordax","Enophrys taurina","Eopsetta jordani","Eptatretus deani","Eptatretus stoutii","Facciolella gilbertii","Galeorhinus galeus","Genyonemus lineatus","Glyptocephalus zachirus","Hemilepidotus spinosus","Hexagrammos decagrammus","Hexanchus griseus","Hippoglossina stomata","Hydrolagus colliei","Hyperprosopon anale","Icelinus filamentosus","Icichthys lockingtoni","Icosteus aenigmaticus","Idiacanthus antrostomus","Kathetostoma averruncus","Lepidopsetta bilineata","Leptocottus armatus","Leuroglossus schmidti","Leuroglossus stilbius","Lycenchelys camchatica","Lycenchelys crotalinus","Lycodapus endemoscotus","Lycodapus fierasfer","Lycodapus mandibularis","Lycodes cortezianus","Lycodes diapterus","Lycodes pacificus","Lyopsetta exilis","Macropinna microstoma","Melamphaes lugubris","Melanocetus johnsonii","Merluccius productus","Microstomus pacificus","Mustelus californicus","Mustelus henlei","Myliobatis californica","Nemichthys scolopaceus","Nezumia liolepis","Nezumia stelgidolepis","Oncorhynchus tshawytscha","Ophiodon elongatus","Paralichthys californicus","Paraliparis cephalus","Paraliparis dactylosus","Paraliparis pectoralis","Parmaturus xaniurus","Parophrys vetulus","Peprilus simillimus","Physiculus rastrelliger","Platichthys stellatus","Pleuronichthys decurrens","Pleuronichthys verticalis","Porichthys notatus","Poromitra crassiceps","Psettichthys melanostictus","Psychrolutes phrictus","Radulinus asprellus","Rhacochilus toxotes","Rhinoliparis attenuatus","Sagamichthys abei","Sardinops sagax","Scomber japonicus","Scorpaena guttata","Sebastes alutus","Sebastes auriculatus","Sebastes aurora","Sebastes babcocki","Sebastes caurinus","Sebastes chlorostictus","Sebastes constellatus","Sebastes crameri","Sebastes diploproa","Sebastes elongatus","Sebastes ensifer","Sebastes entomelas","Sebastes eos","Sebastes flavidus","Sebastes goodei","Sebastes helvomaculatus","Sebastes hopkinsi","Sebastes jordani","Sebastes levis","Sebastes melanostomus","Sebastes ovalis","Sebastes paucispinis","Sebastes pinniger","Sebastes rosaceus","Sebastes rosenblatti","Sebastes ruberrimus","Sebastes rubrivinctus","Sebastes rufus","Sebastes saxicola","Sebastes semicinctus","Sebastes zacentrus","Sebastolobus alascanus","Sebastolobus altivelis","Somniosus pacificus","Squalus suckleyi","Squatina californica","Stenobrachius leucopsarus","Sternoptyx diaphana","Stomias atriventer","Synodus lucioceps","Tactostoma macropus","Talismania bifurcata","Tarletonbeania crenularis","Thaleichthys pacificus","Trachipterus altivelis","Trachurus symmetricus","Xeneretmus latifrons","Xystreurys liolepis","Zalembius rosaceus","Zaniolepis frenata","Zaniolepis latipinnis","Zesticelus profundorum"
"1",0.000921772,256.4427315,121.84314684,0.04237028,21.02710221,0.6141392,0.048171094,849.8002412,35.72657063,128.2333865,0,0.475426752,0.032066339,0,30.2261997,0.003351832,0,0.001106451,0,0,11.82646715,0.02118035,10.95970714,0,0,0,12.132850077,0,0,3.2034027,0.040773587,0,0,3.461290747,0.02496352,4026.344954374,7.9103297,346.049973919,7.918435138,0.048608697,56.47128641,8.105786,0.76302915,297.13934046,0,0.1561116,0,33.581772,452.71362753,823.92325172,0,0.5754076,0,6.754674442,802.951941836,0.60648168,3.833454728,0.258371304,0,0.007028937,0,3.8956565,0.1609453,0.691960776,0.03873035,0.000672577,9.85944082,0.014494918,0,0.004675038,96.50307234,32.973509571,9.865292039,91.102921259,0.001807867,0,0,1877.095181773,2941.072859822,4.84496449,3.747476,1.406581,0,0.02771577,3.88498815,4.293495,217.301371438,27.8957091,0,0.01303591,0,86.36808551,689.284289935,85.93994925,0.01725484,50.127139,47.126721297,2.7522324,77.35217023,0.016106532,1.4320844,0,0.01248639,0,0,0.002657306,0.2377365,0,1.4893219,0,11.07545893,165.10026052,4.31555448,9.274659119,50.94758187,0.2422769,33.03896147,1024.800819809,91.745726898,0,26.15517316,0.4144789,20.53942327,6259.711450136,2.47699621,2.089638,3494.083880872,5.77838445,27.97442698,0,61.811527899,27.07336707,0,13.4546837,9.585122,0.0562335,0.02503381,718.137890821,4.323573931,0.2516896,360.724051339,915.2968131,0,2834.6937775,12.151243,0,0.055095297,0,0.2099375,0.045135107,2.69217279,0.053949895,1.54580621,0,0.05922065,0.011121765,3.2778454,60.700655715,0.28590639,4.333079203,0
"2",0.005515845,68.2352908,129.87090798,0.19221885,54.34386328,6.7887078,0.10963476,3986.91788741,16.67271632,156.76476709,0.1130631,14.208384173,0.005099656,0.177422197,48.08687368,0.06938351,0.074794207,0.019451074,0,0,7.3844959,0,44.19048157,0,0.05337399,0.01414724,5.985005957,0.3611395,0,0.2313718,0.227749327,0,0,6.187766034,0.376916321,3249.47936904,4.5541357,132.44323735,19.38011294,0.004571768,60.7431368,297.78040637,1.41612751,761.11989881,0.06972651,1.75442024,0.08358487,12.383153,1044.72481803,2026.855522397,0.2605464,0,11.0836617,2.303436531,890.12911832,0.96051922,0.71109783,0.059316622,0,0.17943789,0.8763853,30.62840169,0.181539,0.07420467,1.851207626,0,8.256263499,0.131197102,0.014479534,0.00466942,192.30881123,54.767757194,39.762556448,180.434645986,0,0.008627728,0,11546.824096417,6327.6661052,3.7523466,41.1877987,0,0,1.03509507,1.99480738,22.8564602,1069.205716977,14.436034,0.049321854,0.10993368,0,185.33445882,1360.73347298,65.284075926,0.07033802,15.72805611,65.98962033,8.87201875,188.37961814,0.047505663,1.201381,0,0.020066526,0,0,0,57.894568536,0.125528262,2.5585983,0.7953629,5.41619625,259.78840962,5.20183847,48.34495,92.79450519,0.34589051,120.184575679,7231.604567804,102.853461825,0,71.4898537,0,125.8709713,7248.56435011,3.82412898,17.19582112,2307.117377372,35.12051915,164.9813657,0,700.13351833,109.89793654,0.4128898,11.08731219,5.1938385,0.33356425,5.4298084,2031.491506754,138.653186373,44.85867213,526.71442231,1360.21681399,39.356558,5036.47744575,10.911248,0.042519982,0,0.028136711,0.08619103,0.123034439,3.77712499,0.015672947,0.94687187,0,12.92631142,0.11171265,0.2385516,119.366276482,0.69462997,9.539175459,0
"3",0.02465262,58.8129591,246.715578064,0.112254365,39.04026345,2.8980069,0.0398936,1585.18230818,35.19208547,118.48723478,0.4361348,3.24267854,0.013578568,0.15407704,8.2302227,0.024580634,0,0.09969616,0,7.302603,38.52028356,0,23.440659327,0,0.55693181,0.01405124,3.10686122,0.049020361,0,5.8885103,0.137225815,0,0.006409846,0.67602972,0.018853306,1109.70592718,0.25747924,362.458345881,5.64303823,0.01063793,67.38292286,61.516747249,1.76405011,530.62849116,2.00357236,0.07550764,0.015711716,6.896762,202.47022164,741.695966637,0,2.0195319,0.7676574,4.57891278,318.315408,0.44785519,0.1531172,0.060273503,0,0.043096365,0.0478307,17.8832329,0.10030951,0.212240431,0.37046553,0.004189567,9.4460248,0.040895527,0,0.003260056,54.936796737,20.81574723,24.47928583,141.496825682,0.01364868,0.005356997,0.08558399,2893.032913378,3276.15893687,2.1039462,11.69342,13.773472,0,0.27586374,3.79089689,0,361.950632793,7.7893211,0.034110361,0.015460357,0,176.49653896,810.62626456,117.90060144,0,14.009278,35.94961924,4.87145468,95.01208337,0.026627677,0,0,0.031438109,0,0,0,14.323010197,0.56087772,6.21265563,0,9.61086585,195.7264975,3.4582429,30.2239655,16.634780293,0.08600284,25.92212518,1324.44999151,127.81552599,0,81.85164189,0,35.445898,8084.44458184,15.997648005,29.44990611,4769.42115756,12.077032448,46.5072319,0,233.03837424,117.1508742,0.13910394,4.83477044,0.3841148,0,5.225257,1594.603319756,1002.42348141,2.06633624,512.1601281,1306.756943943,1.199371,1749.59056436,28.8176,0,0.009038467,0.039714198,0.0107863,0.089672511,4.798877293,0.02274291,0,0,142.7900007,0.008476264,0.6218861,166.86492903,0.873109962,6.99856635,0.003412171
"4",0,196.9916427,258.70548092,0.125466825,30.2758657,5.256697,0.2350574,1495.18014849,85.68015843,141.795036248,9.5411483,1.711203624,0.027123298,0.064056512,20.37142,0.082128175,0.003659373,0.009685386,0.04214537,7.689206,55.9778122,0,30.74783996,0.06057129,1.02030378,0.050731945,5.018163554,0.065274863,0,1.2180767,0.146958117,0,0.02419153,0.69163248,0.02410861,828.721729082,0,887.335777556,4.07408825,0.03443774,76.8205363,143.01694479,0.3804118,564.4325531,3.05241139,2.39221914,0,6.838413,177.57723136,735.45546893,0,0,39.856061,2.15584743,200.7165845,0.02372657,1.49657295,0,0,0.056028948,0,9.1835895,0.21640403,0,2.321714093,0.024162233,13.69381313,0.034427573,0,0.017175262,76.6332052,16.83497342,23.95491,56.08484999,0.01026415,0.039056967,0,1470.62368836,3860.72735792,0.5394582,7.8682972,11.899994,0,4.728143,2.30699789,0,290.32669267,6.779233,0.007985894,0.104431705,0,190.90913628,344.46593367,87.296797616,0.01170295,3.243441,14.39829499,4.277823596,40.689473879,0.238391769,0.2627711,0,0.055481103,0.07066815,0,0.024093625,1.86458977,9.63426683,0.4329844,0,1.89741591,204.84745781,8.9953344,8.942892,61.84021331,0,66.98092467,945.38990523,93.35787808,0,27.4358167,0.6562901,11.959916,4398.03368475,16.181416794,3.0100124,293.80916697,3.10897189,41.336323647,0,121.3082361,64.03905273,0,3.30701561,0.2105188,1.38399398,282.28487973,717.712222597,206.44629153,87.015034822,692.32126039,1616.29278431,30.487141,1884.23267194,0.3945942,0.051014677,0.017654476,0.028831622,0.1910225,0.17403964,5.74078676,0,0,0.1086883,1.08196548,0,0.2546967,71.10368807,1.983600674,4.24520891,0.017963887
"5",0,137.2354034,267.72840874,0.14893982,20.9338478,1.854616,0.32588723,1419.878673282,75.18652625,95.348150295,9.91068085,8.470840852,0.029260566,0.07922708,6.5696384,0.045767119,0,0,0,1.655285,42.3864262,0,59.097675573,0.04517161,1.79632481,0,8.17090112,0.097150962,0,8.7608395,0.16253321,0.05350149,0.015570273,0.50145015,0.02803541,539.7239813,0,710.435455147,0.676219714,0.01741437,111.0229257,118.27680252,0.69086812,404.5163592,5.86699168,0.2826983,0.4869679,15.62722,486.23179079,620.27735725,0,0,0.5764352,6.44377244,537.57500006,0,0.74839458,0,0,0.08622938,0.8736694,18.6450513,0.21846592,0.018128203,0.21892603,0.022284361,13.63334247,0.01731914,0.004085284,0,106.46449811,17.726196459,61.75150946,72.34507893,0,0.01120511,0,2262.644212318,4448.40028217,0.9051516,1.337537,4.418465,0,2.508750164,1.85457206,0,78.247174445,4.5754573,0.033294488,0.177641309,0.01882573,254.436650802,217.78762278,42.95751862,0,9.313838,10.48800858,1.40878958,69.55910535,0.080613642,0.6224495,0,0,0,0,0.07628652,12.19606189,2.61664185,1.5774362,0,0.5728989,218.0991045,2.64165292,11.031706,14.90454527,0,65.99354989,1575.123879,58.57651176,0.5107065,11.1787843,2.3700244,0,3267.92941966,1.4373821,1.48303836,61.4320891,2.52418158,60.3880321,0,54.0471196,5.4039808,0,9.00530922,0,1.79599933,1.90914925,463.37273523,102.07504416,3.3521622,718.93187009,1644.9308576,88.947879,1123.34933572,0,0.978594179,0,0.21859838,0,0.280334625,8.37906102,0,0.01367556,0,22.1171907,0.038915543,0,67.91493499,4.82941489,6.24302279,0.004460769
"6",0.01127897,116.8453448,275.04056704,0.1557016,11.8986019,1.366065,0.08876668,1215.40829017,38.17123455,176.289893449,2.39011587,3.46099783,0.026999109,0.05731736,9.96091127,0,0.005740832,0.029428071,0,2.779055,40.4208388,0,46.575762544,0,0.49176861,0.05756007,13.64479556,0.198720225,0,3.3147631,0.110316795,0.05367393,0.02008281,1.21130794,0.12401205,1163.1643621,0,552.63761312,2.50113573,0.06775826,84.606507,33.97750575,1.1536731,392.89764688,2.50524622,0.24589628,0,0,320.50154918,579.950293669,0,0,1.297193,2.39060053,443.31664394,0.20554197,0.90081688,0.02569887,0.01135392,0.052208345,0,17.02089127,0.1971484,0.01248935,0.670646245,0.014510293,10.12736569,0.039331082,0.049297171,0.017329051,98.25328007,16.837171796,36.356253596,70.453629769,0,0,0,1978.700397641,4722.16299248,0,2.789313,35.420874,0,0.40092696,9.89857792,0,139.52429467,6.5086054,0.035594012,0.4399914,0,239.58160616,255.85303107,19.86545186,0.077975659,14.2096399,19.99695695,6.19043317,82.30200431,0.050613334,3.57038713,2.017056,0.033301349,0,0.059338199,0,0.16475846,2.4278921,29.3565084,0,0.3141452,261.18356625,4.01094342,34.3106878,71.20814492,1.3611261,29.78227896,1597.619167999,240.880228587,0,8.5778566,0.2198863,33.310373,2660.45579257,8.12387706,111.34752326,135.47906266,2.535360145,62.0853039,0,134.5699334,68.7505894,1.27854362,2.91735522,13.002947,0.20428247,9.47645553,1278.44154261,452.414377228,2.0505907,583.94382343,1793.86723802,8.251988,1532.89304738,0,0.080169718,0,0.114354854,3.10047842,0.141568604,2.77190431,0,0,0,103.79291611,0.22162079,0.5221653,94.43430739,8.27856464,12.439151138,0
"7",0.02689709,262.8262985,379.50428798,0.743078118,3.48924021,0,0.02751565,1267.10127172,71.87028747,119.92835924,6.58954147,0.155448,0,0.12603532,8.73363467,0.009821453,0,0.016018873,1.05784051,5.266574,58.99858855,0,69.52867204,0.1044874,2.474465288,0.125477937,14.26989224,0.129753427,0,10.5186543,0.169209968,0.02713798,0.086115364,3.68650208,0.1426016,2267.54595618,0,670.78678292,7.287272917,0,69.1229928,49.86813667,0.51983371,532.45343797,4.84900623,0.29331128,0,0,165.10229057,663.706367791,0,0,0,3.98011623,408.99198509,0,0.36649015,0,0,0.03293905,0.04801064,17.4435156,0.24879374,0.02968882,3.145966183,0.004557115,14.964760335,0,1.125016,0,82.82477424,5.14070475,50.087995025,74.714297843,0.03998362,0.01089195,0,1085.43608264,4917.13722289,0,1.8447713,4.099864,0,1.03739792,10.368270615,0,122.30534404,0,0.018207361,0.36957179,0.03463844,303.98112913,249.61823355,18.451178335,0.0408939,6.2106588,17.56071007,4.86392553,167.39615959,0.119724525,0.76191567,2.087059,0.048212738,0,0.009264289,0.08383926,2.747757,0.2888724,84.80465,0.3655483,2.3457384,225.1626352,2.16190215,32.90087865,198.22465278,5.6745182,97.05110387,5304.86474931,102.704495939,1.53941809,29.1762582,1.0056379,128.1106394,1571.183660122,13.37619786,206.52499787,21.017423262,19.006540583,157.60001784,8.96775798,56.7089702,82.0446044,0.11541297,22.41729978,15.060828,1.7836016,10.65710228,1141.89911421,222.644719954,40.2092774,760.42464702,1792.1432683,7.31922,268.13562363,0,0.171210932,0,0.096122127,2.08733418,0.276569523,3.54072673,0,0.05066673,0,5.95167975,0.04687434,0.4735412,85.25461414,2.49098658,8.18443303,0
"8",0,147.6683602,276.1037764,0.02063711,1.07907821,0,0.04048026,917.9981113,59.43134881,172.37975522,38.9360815,0.115056612,0.019149277,0.090191067,38.63644143,0,0.018934365,0.028238021,2.7812515,11.298992,31.0535995,0,80.98745163,0.02637104,1.19937814,0.06558306,52.2965081,0.11462103,0.05052569,2.6835028,0.197052502,0.1672102,0.06919955,6.32532368,0.20480226,2674.778619889,0.5614942,635.30889207,1.1587623,0.20991101,92.64203048,0.005600389,1.92080708,448.28994038,0.87072632,2.91105639,0,20.526421,112.24719913,416.914626906,0,0,0.9908721,3.39542922,284.75154745,0,2.23044436,0.05286128,0,0.02445041,0.2091165,13.2928324,0.14647748,0,0.736213338,0.01144161,14.34368597,0.056637276,0,0.01914674,114.56839533,19.76375859,75.351175422,176.038451025,0,0.016787217,0,608.40303507,4545.329807472,0,0,6.40237,0,0.484544282,6.2086537,0,108.58297181,1.311829,0.025725649,0.432928256,0.01994099,218.22773303,240.46544585,10.28024533,0.73620553,11.64421,14.48540891,6.26510393,103.01809341,0.100309234,4.0127432,0,0.089461151,0,0,0.03328107,0.22341542,0.4212336,0.9708225,0,2.00867363,204.42576294,2.5512905,6.32422801,49.31574038,0.17824994,2.70613317,1302.141380907,32.226829219,0.3065872,3.7799638,1.7212991,4.095744422,737.573474266,5.1702063,15.22855719,907.25782853,10.378489735,167.807047168,0.4519495,44.31090297,13.8197336,0.4677362,22.39551109,0.7998959,0.2118239,4.4539594,520.274053963,516.2261913,11.95871531,634.24859952,1993.14863201,244.526756,241.94983352,51.9447285,0.13807013,0,8.335801555,1.96758234,0.120627885,3.3256531,0.018876694,0,0.2623331,5.3608673,0.03732334,0.2590501,53.13632343,4.36376893,10.98841875,0
"9",0,331.5574786,355.59734118,0.050076262,1.90182831,0,0.07841344,1494.33416258,87.91008277,174.62113499,29.04474083,0.277060818,0,0.21979243,116.46957649,0,0.009287941,1.454788,0.43159748,4.137895,68.6918058,0.01427794,50.54487215,0,1.01817008,0.288977638,20.310579079,0.174322965,0,0.1034433,0.32647988,0.0287212,0.0474923,4.83505198,0.29067207,2066.19118713,0,1052.81330468,1.18585814,0.031468802,107.0804653,0.2319302,0.0931877,655.6696104,0.27428014,1.20835147,0.01246071,0,65.64595137,440.61259779,0.53664514,0.03770191,10.7922,1.9653209,326.5248997,0,2.81119674,0.041598626,0,0.044653561,0,17.51835977,0.54047018,0,3.860132196,0,15.810844133,0.062788201,0,0.01025705,64.884872,25.205194409,58.1985608,191.59144461,0.02571632,0.017118801,0,938.897357845,3716.46294038,0,2.321707,0,0,0.1564549,4.65179176,0,122.693397881,0,0.020218818,0.07743611,0.01137012,324.1416467,349.79286471,7.07158699,0.19094216,19.6414565,29.3748631,7.46116887,120.88096021,0.110331399,12.57918205,0,0.062344874,0,0,0.05984933,0,0,22.5053188,0.09753773,0.93428947,170.5885982,3.03052741,8.261417,54.54224006,0.4067177,42.23635676,1219.731946381,119.76805373,0,26.3235229,0,1.3103989,2918.61247024,0.97079223,1.40849365,907.50188255,5.532175238,71.22443548,0,28.20337267,7.81001683,0,16.0728467,2.120947,0.08295983,6.25714868,836.85935463,99.385310438,220.95906223,754.03309233,1821.15627083,34.049571,267.93915752,0,0.01285816,0.004192109,0,1.46761506,0.279037163,4.39786637,0,0,0.26410406,0.4870963,0.165789247,0,27.27865235,1.50557983,8.27534393,0.005268409
"10",0.0713906,121.2172104,258.54045847,2.481198021,3.12828522,2.7074895,0.08515166,1087.41846628,22.97962719,152.30367577,11.3173566,0.650230075,0.021415629,0,163.34846687,0.01765506,0.041464465,0.054353447,0.48373294,3.846679,27.9192821,0.01576118,71.903208561,0,0.14385076,0.20288593,22.29657486,0.585323203,0,6.6916972,0.06625795,0.01822143,0,7.715001496,0.15958393,2408.28389284,0,424.39865404,1.8920501,1.54567414,93.7230196,0.01230916,57.8298337,811.2985772,0.57185182,5.21368913,0,12.93088,161.45906089,793.03129561,0,0.31460742,0,12.68963327,579.40992159,0,5.73961356,0,0.05239862,0.06398292,0,56.3566587,0.49250337,0,0.479264929,0.03337145,9.60941212,0.03696249,0,0.01123118,101.14954243,6.240813693,86.01653589,151.11495277,0,0.01818861,0,527.688815457,4077.24843551,0,1.80007392,0,0.006914177,0.92892768,3.30058666,0,496.46184759,0,0,1.631206317,0,200.37837475,661.0834957,10.96808654,0.065756637,15.2198752,94.74791087,16.42249306,119.21605366,0.05976606,8.0012692,0,0.08441186,0.1842638,0.01766903,0.01330752,0.1642084,0,61.4345143,0.22290552,3.36255137,172.62166588,3.62924365,1267.18870732,72.748939,0.8466429,10.59939572,873.238022857,85.65274973,0.135247,2.1515892,0,12.80501977,3158.333798003,2.9338189,27.05389087,542.31310791,36.45746713,72.72849001,0.2421439,779.04576624,11.70028201,0,11.31323001,8.835839,14.67297771,12.04862204,1097.893001787,1106.126292986,13.51982698,621.31710664,1788.9180676,0,203.32889859,19.442508,0.059354107,0.006539748,0.06739973,4.54450122,0.031410219,2.43191484,0,0.04479379,0.04847419,0.1939176,0.01144873,0,93.882494606,5.70207367,10.51589512,0
