cientifico,TL,DemersPelag,DepthRangeShallow,DepthRangeDeep,Length,BodyShapeI
Agonopsis sterletus,3.2,demersal,42,91,15,elongated
Agonopsis vulsa,3.3,demersal,0,163,20,elongated
Albatrossia pectoralis,4.3,bathydemersal,140,3500,210,elongated
Alepocephalus tenebrosus,3.5,bathydemersal,46,5500,61,elongated
Allosmerus elongatus,3.3,demersal,1,103,22.9,elongated
Alosa sapidissima,3.48,pelagic-neritic,0,250,76,fusiform / normal
Amphistichus argenteus,3.53,demersal,0,73,43,fusiform / normal
Amphistichus rhodoterus,3.37,demersal,0,7,41,short and / or deep
Anarrhichthys ocellatus,3.5,demersal,1,226,240,elongated
Anoplopoma fimbria,3.84,bathydemersal,175,2740,120,fusiform / normal
Antimora microlepis,3.5,bathypelagic,175,3048,75,fusiform / normal
Aphanopus intermedius,4.3,benthopelagic,300,1350,148,eel-like
Apristurus brunneus,3.58,demersal,33,1306,69,elongated
Apristurus kampae,3.9,bathydemersal,180,1888,58.4,elongated
Arctozenus risso,3.22,bathypelagic,0,2200,30,elongated
Argentina sialis,3.1,demersal,11,325,22,elongated
Argyropelecus affinis,3.1,bathypelagic,1,3872,8.4,short and / or deep
Argyropelecus lychnus,3,bathypelagic,200,700,5.9,short and / or deep
Aristostomias scintillans,3.5,bathypelagic,0,1219,23,elongated
Atheresthes stomias,4.17,demersal,18,950,84,short and / or deep
Atherinops affinis,2.8,pelagic-neritic,0,26,37,elongated
Atherinopsis californiensis,2.3,pelagic-neritic,0,30,45,elongated
Bathyagonus nigripinnis,3.3,demersal,18,1290,24.2,elongated
Bathyagonus pentacanthus,3.2,demersal,110,910,23,elongated
Bathylagus pacificus,3.3,bathypelagic,600,7700,25,fusiform / normal
Bathyraja aleutica,4.1,bathydemersal,15,1602,161,other
Bathyraja spinosissima,4.1,bathydemersal,800,2938,150,other
Bathyraja trachura,4,bathydemersal,213,2550,91,other
Bothrocara brunneum,3.61,bathydemersal,129,2570,74,eel-like
Brosmophycis marginata,3.5,demersal,3,256,46,elongated
Careproctus cypselurus,3.3,bathydemersal,35,1775,32.3,elongated
Careproctus gilberti,3.2,bathydemersal,73,886,8.9,other
Careproctus melanurus,3.4,bathydemersal,89,2286,54,fusiform / normal
Cataetyx rubrirostris,3.5,bathydemersal,300,1000,15.7,elongated
Chauliodus macouni,4.5,bathypelagic,25,4390,29.3,elongated
Chesnonia verrucosa,3.2,demersal,18,425,20,elongated
Chiasmodon niger,4.2,pelagic-oceanic,700,2745,25,elongated
