"","cientifico","TL","DemersPelag","DepthRangeShallow","DepthRangeDeep","Length","BodyShapeI"
"1","Brama australis",NA,"pelagic-neritic",15,120,47,"short and / or deep"
"2","Callorhinchus callorynchus",3.35,"demersal",10,116,89.2,"elongated"
"3","Epigonus crassicaudus",NA,"bathydemersal",180,400,43,"fusiform / normal"
"4","Genypterus blacodes",NA,"bathydemersal",22,1000,200,"Elongated"
"5","Genypterus maculatus",NA,"demersal",NA,NA,100,"elongated"
"6","Helicolenus lengerichi",NA,"bathydemersal",NA,NA,30.7,"fusiform / normal"
"7","Hippoglossina macrops",3.73,"demersal",NA,500,NA,"short and / or deep"
"8","Macruronus magellanicus",NA,"benthopelagic",30,500,115,"elongated"
"9","Merluccius gayi gayi",4.26,"bathydemersal",50,500,87,"fusiform / normal"
"10","Prolatilus jugularis",NA,"demersal",NA,NA,40,NA
"11","Squalus acanthias",4.37,"benthopelagic",0,1460,160,"elongated"
"12","Stromateus stellatus",NA,"benthopelagic",NA,NA,25.14,"short and / or deep"
"13","Thyrsites atun",3.63,"benthopelagic",0,550,200,"elongated"
"14","Trachurus murphyi",3.33,"pelagic-oceanic",10,306,70,"fusiform / normal"
"15","Zearaja chilensis",4.46,"demersal",NA,NA,42,"other"
