year,common,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
2003,"Anchovy, northern",0,0,0,0,"1,555,834","7,010","1,378,832","724,130","29,972"
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,"$81,964 ","$1,402 ","$140,435 ","$40,957 ","$8,103 "
2003,"Barracuda, California",0,0,0,6,7,238,"15,544","61,704","3,447"
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$3 ,$151 ,"$6,954 ","$40,808 ","$2,810 "
2003,"Bass, giant sea",0,0,0,0,0,0,"2,860","4,583",538
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,282 ","$6,733 ","$1,076 "
2003,Blacksmith,0,0,0,0,0,0,1,210,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$231 ,$0 
2003,"Bonito, Pacific",0,0,0,0,0,109,"1,235","2,663","1,403"
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$55 ,$333 ,"$1,340 ",$975 
2003,"Bullhead, brown",0,0,0,328,0,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$334 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,Butterfish (Pacific pompano),0,0,0,157,"17,545",0,"6,651",20,0
2003,EMPTY,$0 ,$0 ,$0 ,$145 ,"$11,376 ",$0 ,"$6,301 ",$0 ,$0 
2003,Cabezon,"4,168","12,587","1,404",505,"5,827","50,277","12,140",182,375
2003,EMPTY,"$14,849 ","$47,136 ","$4,882 ","$1,135 ","$26,656 ","$252,395 ","$66,732 ",$346 ,"$1,475 "
2003,Carp,0,0,0,"7,585",0,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,"$10,274 ",$0 ,$0 ,$0 ,$0 ,$0 
2003,"Cod, Pacific","1,268",0,0,40,2,0,0,0,4
2003,EMPTY,$801 ,$0 ,$0 ,$37 ,$2 ,$0 ,$0 ,$0 ,$5 
2003,"Croaker, unspecifed",0,0,0,"4,040",0,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,"$4,232 ",$0 ,$0 ,$0 ,$0 ,$0 
2003,"Croaker, white",0,0,247,"43,260","8,052",0,"22,730","93,721",574
2003,EMPTY,$0 ,$0 ,$247 ,"$41,883 ","$2,410 ",$0 ,"$11,013 ","$83,747 ",$325 
2003,Dolphin (fish),0,0,0,0,0,0,"1,180",0,"11,975"
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,556 ",$0 ,"$6,644 "
2003,"Eel, California moray",0,0,0,0,0,0,93,536,301
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$717 ,"$3,347 ","$2,225 "
2003,"Eel, monkeyface (prickleback)..",0,0,0,60,0,19,18,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$208 ,$0 ,$75 ,$62 ,$0 ,$0 
